"Segment","Name","Website","Location","Type/Category","Why-fit","Personalization hook","Contact path","Confidence","Notes","Country","Ecosystem","ICP_Fit","Contact_path_type","Directory_source","Directory_profile_url","Own_site_verified","Outreach_stage","Last_verified_date"
"Retailer - direct client","The Jojoba Company","jojobacompany.com","Yarra Valley VIC AU","Beauty","Grower to skincare, raw + finished-goods inventory","Grows its own jojoba in the Yarra Valley","jojobacompany.com wholesale","med","","","","","","","","","",""
"Retailer - direct client","Byron Bay Chocolate Co","byronbaychocolateco.com.au","Byron Bay NSW AU","Confectionery","Family maker, large wholesale bulk range, many SKUs","2nd-generation family business founded 1985","byronbaychocolateco.com.au wholesale","med","","","","","","","","","",""
"Retailer - direct client","Aussie Gardener","aussiegardener.com.au","AU","Garden tools","DTC garden tools, strong seasonal demand swings","Flagship Power Planter + full tool range","aussiegardener.com.au contact","med","","","","","","","","","",""
"Retailer - direct client","Nutra Organics","nutraorganics.com.au","Northern NSW AU","Supplements","Broad functional-nutrition range, national stockist network","Family-founded Northern-NSW brand with a store-locator","nutraorganics.com.au/pages/stockists","med","","","","","","","","","",""
"Retailer - direct client","Bare Blends","bareblends.com.au","Melbourne VIC AU","Supplements","Multi-channel protein/superfood SKUs, packaging churn","Moved entire range to 100% home-compostable packaging","bareblends.com.au stockists","med","","","","","","","","","",""
"Retailer - direct client","Moontree Studio","moontree.com.au","Leura NSW AU","Homewares / candles","Single store + online, own candles + curated art","Blue Mountains shop selling own AU-made candles + original art","moontree.com.au","med","Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Salt & Sand Noosa","salt-and-sand-noosa.myshopify.com","Noosa QLD AU","Homewares / gifts","Single store + online, tourist-town retailer","Noosa store selling unique art, homewares and gifts","salt-and-sand-noosa.myshopify.com","med","Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Auguste the Label","augustethelabel.com","Byron Bay NSW AU","Apparel","Store + online + stockist network, own label","Founded 2015 by Ebony Eagles designing future-vintage womenswear","augustethelabel.com/pages/store-locator","med","Found via 2 methods","","","","","","","","",""
"Retailer - direct client","Scratch Pet Food","scratchpetfood.com.au","Regional VIC AU","Pet","Subscription kibble + raw range, demand forecasting","B-Corp, first certified dog-food company in Australia","scratchpetfood.com.au/about","med","Band risk (may exceed 15M)","","","","","","","","",""
"Retailer - direct client","Petzyo","petzyo.com.au","Melbourne VIC AU","Pet","Expanding SKU set, subscription for 50,000+ dogs","B-Corp, 100% Aussie-owned; 130,000+ trees planted","petzyo.com.au","med","Band risk","","","","","","","","",""
"Retailer - direct client","Noshu","noshu.com.au","Sydney NSW AU","Food","Coles + Woolworths + DTC + Amazon, low-sugar SKUs","Founder built it after a family history of type 2 diabetes","noshu.com.au","med","Band risk","","","","","","","","",""
"Retailer - direct client","Kip&Co","kipandco.com.au","Melbourne VIC AU","Homewares","Multi-category themed drops (bedding/apparel/kids/pet)","Known for bright themed collection launches","kipandco.com.au contact/wholesale","med","Band risk","","","","","","","","",""
"Retailer - direct client","Kowtow","nz.kowtowclothing.com","Wellington NZ","Sustainable fashion","2 stores + online, seed-to-garment long lead times","Seed-to-garment Fairtrade organic-cotton supply chain","nz.kowtowclothing.com/pages/stores","med","Found via 2 methods; band risk","","","","","","","","",""
"Retailer - direct client","Tiger Tribe","tigertribe.com.au","Melbourne VIC AU","Toys","Wholesale-heavy kids craft, allocation complexity","Stocked in 800+ stores across Australia and 30 countries","tigertribe.com.au/pages/wholesale","low","Band risk (upper)","","","","","","","","",""
"Retailer - direct client","ELK the Label","elkthelabel.com","Melbourne VIC AU","Apparel / bags","Flagship + online + 15yr wholesale, multi-category SKUs","Opened first flagship after 15 years as wholesale-only","elkthelabel.com/pages/stockists","low","Band risk; found via 2 methods","","","","","","","","",""
"Retailer - direct client","Citta","citta.com","NZ (11 stores)","Homewares / furniture","11 NZ stores + AU online + ~500 stockists","One of the biggest POS estates on the list","citta.com/pages/store-locator","med","Band risk (likely >15M)","","","","","","","","",""
"Retailer - direct client","Bivouac Outdoor","bivouac.co.nz","NZ (multi-store)","Outdoor","National chain, multi-brand technical gear","30+ years, in-store boot/pack fitting","bivouac.co.nz","med","Band risk","","","","","","","","",""
"Retailer - direct client","St. Agni","st-agni.com","Byron Bay NSW AU","Fashion / leather","4 AU boutiques + global online","Byron-founded label now running 4 boutiques + global online","st-agni.com/pages/our-boutiques-byron-bay","med","Band risk","","","","","","","","",""
"Retailer - direct client","Spell","spell.co","Byron Bay NSW AU","Boho womenswear","Boutique + online + wholesale","Sisters grew it from Byron markets to a Browning St boutique","spell.co","med","Band risk","","","","","","","","",""
"Retailer - direct client","Deadly Ponies","deadlyponies.com","Auckland NZ","Leather goods","5 own stores + wholesale (David Jones)","First South Island flagship (Queenstown) + B-Corp in 2024","deadlyponies.com/pages/stores","med","Band risk; found via 2 methods","","","","","","","","",""
"Operator - SCM/ops consultant","GrowthPath","growthpath.com.au","Melbourne AU","Inventory + ERP consultant","Founded 2011 to help SMEs with cloud inventory; Cin7/Unleashed/Xero","Blog says Cin7 is recommended most for AU brands in the 2M-15M range - the exact ICP","growthpath.com.au contact","high","Tier-1 operator","","","","","","","","",""
"Operator - SCM/ops consultant","SMB Consultants","smbconsultants.com.au","AU (+NZ)","Inventory/systems consultant","Omni-channel inventory specialists, 200+ businesses AU/NZ","3x Cin7 Partner Award winner, Xero Preferred Integrator","smbconsultants.com.au/pages/contact-us + LinkedIn","high","Tier-1 operator","","","","","","","","",""
"Operator - SCM/ops consultant","ZMC Consulting","zmc.nz","Auckland NZ","Inventory/ERP consultant","Boutique, Cin7 + Shopify + Xero, multi-site oversight","Solo/boutique run by Marc; whole pitch is stock-control automation","zmc.nz contact form","high","Tier-1 operator","","","","","","","","",""
"Operator - SCM/ops consultant","CNZ Consultants","cnzconsultants.co.nz","NZ","Cin7 inventory consultant","Founder ex-inventory-software vendor; SMB retail/wholesale","Claims 212.5M in sales via automation; 1-1 Calendly with Chris","cnzconsultants.co.nz/contact + Calendly","high","Tier-1 operator","","","","","","","","",""
"Operator - SCM/ops consultant","WorkSmart","worksmarter.co.nz","Nelson NZ","Inventory implementation consultant","DEAR & Unleashed certified, NZ retail/POS/ecommerce","Dual Unleashed + Cin7 Core certification","worksmarter.co.nz/contact-us + LinkedIn","high","Tier-1 operator","","","","","","","","",""
"Operator - SCM/ops consultant","Software4Business","software4business.com.au","Brisbane QLD AU","Cin7/Shopify inventory-ops (solo)","The layer between storefront and accounting; solo 25+yr specialist","Hanno Winterbach, the exact one-operator persona","software4business.com.au contact","high","Tier-1 operator; also Shopify-ops","","","","","","","","",""
"Operator - SCM/ops consultant","Insiteful","insiteful.com.au","Ringwood VIC AU","ERP/inventory consultant","Targets AU Shopify brands in the 2M-50M range","Sells a Book a Build Assessment discovery engagement","insiteful.com.au contact + LinkedIn","med-high","","","","","","","","","",""
"Operator - SCM/ops consultant","Dawson Consulting","dawsonconsulting.com.au","AU","SME inventory consultant","Dedicated SME Inventory Management service line","Productised SME Inventory Audit, 2-3 weeks, under 10k + GST","dawsonconsulting.com.au contact/booking","med-high","","","","","","","","","",""
"Operator - SCM/ops consultant","Carewell Group","carewellgroup.com.au","Smithfield NSW AU","Inventory / demand-forecast consultant","Demand forecasting + replenishment + full warehouse audit","Their audit already covers SKU accuracy + turnover KPIs","carewellgroup.com.au/contact-us + LinkedIn","med","","","","","","","","","",""
"Operator - SCM/ops consultant","OE Partners","oepartners.com.au","Melbourne/Sydney AU","Demand-planning consultant","Retail/wholesale forecasting, vendor-independent","Positions as independent of software vendors","oepartners.com.au/contact + LinkedIn","med","Skews mid-large, qualify","","","","","","","","",""
"Operator - fractional COO","LION Digital","liondigital.com.au","Melbourne AU","Fractional COO (ecommerce)","Fractional COO incl supply chain/procurement; 200+ brands","Led by Patrick Callanan (ex-Lindt, Seafolly)","liondigital.com.au/contact + LinkedIn","med-high","","","","","","","","","",""
"Operator - fractional COO","FBS Consulting","fbsconsulting.com.au","Gold Coast QLD AU","Fractional COO","For 2M-40M firms; scope lists supply-chain/lead-time optimization","Runs a 2,000 1-day diagnostic before a 90-day engagement","fbsconsulting.com.au contact + Calendly","med","","","","","","","","","",""
"Operator - Xero/e-comm accountant","The Ecommerce Accountant","ecommerceaccountant.com.au","Gold Coast QLD AU","Xero Platinum e-comm accountant","Works exclusively with online businesses; inventory tracking","Xero Platinum Champion Partner serving 500+ e-commerce brands","ecommerceaccountant.com.au contact","high","Tier-1 operator","","","","","","","","",""
"Operator - Xero/e-comm accountant","Future Advisory","futureadvisory.com.au","Melbourne/Sunshine Coast AU","Xero e-comm accountant","Xero-certified; inventory valuation, multi-platform recon","Positions from Shopify stores to Amazon sellers as its niche + Virtual CFO","futureadvisory.com.au/contact (1300 225 888)","high","","","","","","","","","",""
"Operator - Xero/e-comm accountant","42 Advisory","42advisory.com.au","Chadstone Melbourne VIC","Xero e-comm accountant","Deep Xero; inventory valuation + COGS, 3-way cashflow","Watches of Mayfair case: Magento to Xero cut manual entry ~50%","42advisory.com.au meeting booking","high","","","","","","","","","",""
"Operator - Xero/e-comm accountant","Intrepid Advisory","intrepidadvisory.com.au","Brisbane/Sydney/Melbourne","E-comm accountant","Shopify & Amazon sellers; monthly A2X/Xero financials","Targets 7-figure e-comm founders incl exit strategy","intrepidadvisory.com.au/contact-us","high","","","","","","","","","",""
"Operator - Xero/e-comm accountant","Liston Newton Advisory","listonnewton.com.au","Melbourne AU","Xero advisory / Virtual CFO","Shopify & Amazon into Xero; cashflow forecasting","Won Boutique Firm of the Year at Australian Accounting Awards 2026","listonnewton.com.au (1300 359 905)","high","","","","","","","","","",""
"Operator - Xero/e-comm accountant","JD Scott + Co","jdscott.co","Sydney NSW AU","Xero e-comm accountant","Shopify to Xero; inventory accounting + advisory","Runs its own Shopify store (Lennox Beach) - operator-minded","jdscott.co/contact","high","","","","","","","","","",""
"Operator - Xero/e-comm accountant","DSV Partners","dsvpartners.com.au","Campsie Sydney NSW","Xero + MYOB e-comm accountant","Shopify/Amazon/eBay/Etsy; inventory control guidance","Pain-led positioning (90% of e-comm fail in 4 months)","dsvpartners.com.au/contact-us (02 9789 0789)","high","","","","","","","","","",""
"Operator - Xero/e-comm accountant","Infinity22","infinity22.co","Sydney/Brisbane/Melbourne/Perth","Xero Gold e-comm advisory","Specialist e-comm accounting; future-proof/tech positioning","Xero Gold Partner; explicitly tech-forward advisory brand","infinity22.co/contact-us (1300 344 976)","high","","","","","","","","","",""
"Operator - Xero/e-comm accountant","Schurr Ireland","schurrireland.co.nz","Taranaki NZ","Xero e-comm accountant","Xero partner; Shopify integration, inventory turnover","40+ year firm leaning into a modern Shopify/e-comm niche","schurrireland.co.nz/contact (06 759 0105)","high","","","","","","","","","",""
"Operator - Xero/e-comm accountant","Wise Advice","wiseadvice.co.nz","Pukekohe Auckland NZ","Xero Platinum e-comm advisory","Xero Platinum; Shopify/Amazon integration + inventory","Offers a free 30-min Shopify/Amazon account audit","wiseadvice.co.nz/contact (0800 304 040)","high","","","","","","","","","",""
"Operator - Shopify ops partner","OSE (Online Solution Experts)","ose.com.au","Brisbane QLD AU","Shopify Plus ops partner","Integrations so data flows across sales/inventory/finance/fulfilment","Named case-study clients Hallmark Cards and The Vinyl Store","ose.com.au/contact (1300 810 920)","high","","","","","","","","","",""
"Operator - Shopify ops partner","Acidgreen","acidgreen.com.au","Sydney NSW AU","Shopify Plus ops partner","Unified omnichannel (online + Shopify POS + marketplaces) + inventory","350+ stores launched, 80+ Shopify experts, 25+ years","acidgreen.com.au/contact-us","high","","","","","","","","","",""
"Operator - Shopify ops partner","Pipelabs","pipelabs.com.au","West Melbourne VIC","Shopify Plus ops partner","Omni-channel with POS, ERP & inventory-management integration","Thirsty Camel build integrated e-comm + loyalty/POS","pipelabs.com.au contact","high","","","","","","","","","",""
"Operator - Shopify ops partner","Swanky","swankyagency.com","AU (+UK/FR)","Shopify Platinum ops partner","Omnichannel retail + Shopify POS; Linnworks/Patchworks integration","Publishes 25+ migration/integration case studies","swankyagency.com/contact-us (AU office)","high","","","","","","","","","",""
"Operator - Shopify ops partner","Zyber","zyber.co.nz","NZ (+AU)","Shopify Plus Premier ops partner","B2B commerce, omnichannel, systems integration","Named clients Bargain Chemist, BedsRus, Golf Warehouse","zyber.co.nz/pages/contact-us","high","","","","","","","","","",""
"Operator - Shopify ops partner","CyberWorkshop","cyberworkshop.co.nz","Auckland NZ","Shopify + MYOB ERP ops partner","15+yr Shopify to MYOB + Unleashed inventory; stock sync","Claims more Shopify reviews than any other NZ agency; 100+ projects","cyberworkshop.co.nz Calendly (+64 9 889 8881)","high","","","","","","","","","",""
"Operator - Shopify ops partner","Hello Digital","hellodigital.nz","Wellington NZ","Shopify Expert / retail-POS partner","Brick-and-mortar + online; Vend/POS integration","Paladin Sports: 10x increase in online sales within 10 months","hellodigital.nz/contact","high","","","","","","","","","",""
"Channel node - recruit operators","ASCI (Australasian Supply Chain Institute)","asci.org.au","AU national","ASCM/APICS accreditation body","Delivers CPIM/CSCP; instructors + members = operator pool","Runs CPIM cohorts - the credential is literally planning + inventory","asci.org.au events/contact + LinkedIn","high (node)","Recruiting channel, not a client","","","","","","","","",""
"Channel node - recruit operators","NZPICS","nzpics.org.nz","Auckland NZ","ASCM/APICS Premium Channel Partner NZ","Only APICS partner in NZ 40yrs; CPIM/CSCP/CLTD tutor-led","Tutor-led CPIM classes; named senior independent practitioners","nzpics.org.nz contact (09-525 1525) + LinkedIn","high (node)","Recruiting channel, not a client","","","","","","","","",""
"Channel partner - inventory implementer","Integration Kings","integrationkings.com","AU","Cin7 implementation partner","Verified Cin7 implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","integrationkings.com","high","Plan rank #1; Elite tier","AU","Cin7","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","9 Yards","9yards.com.au","AU","Cin7 implementation partner","Verified Cin7 implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","9yards.com.au","high","Plan rank #2","AU","Cin7","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","Software4Business","software4business.com.au","AU","Cin7 implementation partner","Verified Cin7 implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","software4business.com.au","high","Plan rank #3","AU","Cin7","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","SMB Consultants","smbconsultants.com.au","AU(+NZ)","Cin7 implementation partner","Verified Cin7 implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","smbconsultants.com.au","high","Plan rank #4","AU(+NZ)","Cin7","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","Waypoint","wearewaypoint.com","AU+UK","Cin7 implementation partner","Verified Cin7 implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","wearewaypoint.com","high","Plan rank #5","AU+UK","Cin7","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","GrowthPath","growthpath.com.au","AU","Cin7 + Unleashed implementation partner","Verified Cin7 + Unleashed implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","growthpath.com.au","high","Plan rank #6","AU","Both","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","WorkSmart","worksmarter.co.nz","NZ","Cin7 + Unleashed implementation partner","Verified Cin7 + Unleashed implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","worksmarter.co.nz","high","Plan rank #7","NZ","Both","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","CNZ Consultants","cnzconsultants.co.nz","NZ","Cin7 implementation partner","Verified Cin7 implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","cnzconsultants.co.nz","high","Plan rank #8","NZ","Cin7","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","ZMC Consulting","zmc.nz","NZ","Cin7 implementation partner","Verified Cin7 implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","zmc.nz","high","Plan rank #9","NZ","Cin7","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","Beyond Expectations","beyondexpectations.co.nz","NZ","Cin7 + Unleashed implementation partner","Verified Cin7 + Unleashed implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","beyondexpectations.co.nz","high","Plan rank #10","NZ","Both","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","Equation Limited","equation.co.nz","NZ","Cin7 + Unleashed implementation partner","Verified Cin7 + Unleashed implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","equation.co.nz","high","Plan rank #11","NZ","Both","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","Coconut Consulting","coconutconsulting.com.au","AU","Unleashed implementation partner","Verified Unleashed implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","coconutconsulting.com.au","high","Plan rank #12","AU","Unleashed","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","Cloud Ease Consulting","cloudease.com.au","AU","Unleashed implementation partner","Verified Unleashed implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","cloudease.com.au","high","Plan rank #13","AU","Unleashed","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","Jiffi Consultancy","jiffi.co","AU","Unleashed implementation partner","Verified Unleashed implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","jiffi.co","high","Plan rank #14","AU","Unleashed","Tier-A","own_domain","","","yes","not_started",""
"Channel partner - inventory implementer","Divide by Zero Development","","AU(+NZ)","Unleashed implementation partner","Verified Unleashed implementation partner implementation partner; Tier-A fit for the design-partner rev-share pilot (Kern GTM plan Part 4).","","Unleashed profile — Verify?","low","Plan rank #15","AU(+NZ)","Unleashed","Tier-A","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Neogen","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed profile — Verify? (NOT neogenaustralasia.com.au)","low","Plan rank #16; Caution: neogenaustralasia.com.au is explicitly NOT this firm's domain per plan research; do not use it.","AU","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","App Advisor","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #17","AU","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Cloudsolve","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #18","AU","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Business Continuum","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #19","AU","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Errant Venture","","AU(+NZ)","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #20","AU(+NZ)","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Invisible Business Solutions","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #21","AU","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Webs App Solutions","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #22","AU","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Jill of all Trades","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-C fit (lighter refer/resell outreach), own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #23","AU","Unleashed","Tier-C","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Elevate Accounting","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-C fit (lighter refer/resell outreach), own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #24","AU","Unleashed","Tier-C","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Eye On Books","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-C fit (lighter refer/resell outreach), own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #25","AU","Unleashed","Tier-C","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","ATB Partners","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-C fit (lighter refer/resell outreach), own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #26","AU","Unleashed","Tier-C","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Adrians","","AU","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-C fit (lighter refer/resell outreach), own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #27","AU","Unleashed","Tier-C","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","ALTSHIFT","","NZ","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #28","NZ","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Bennett Currie","","NZ","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #29","NZ","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Consult Ltd","","NZ","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #30","NZ","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Empower Business & Accounting Solutions","","NZ","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-C fit (lighter refer/resell outreach), own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #31","NZ","Unleashed","Tier-C","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Katalyst Office Management","","NZ","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #32","NZ","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","Living Business","","NZ","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-B fit, own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #33","NZ","Unleashed","Tier-B","directory_listing","Unleashed partner directory","","no","not_started",""
"Channel partner - inventory implementer","No Fuss Business","","NZ","Unleashed implementation partner","Unleashed implementation partner, directory-listed; Tier-C fit (lighter refer/resell outreach), own-domain not yet independently confirmed.","","Unleashed listing — Verify?","low","Plan rank #34","NZ","Unleashed","Tier-C","directory_listing","Unleashed partner directory","","no","not_started",""
